id,Title,Категории нападений,Регионы,Количество пострадавших,Пол,Возраст,Гражданство,Категория пострадавшего,Дата нападения - от,Дата нападения - до,Время суток,Точное время,Тип места нападения,Маркер_lat,Маркер_lng,Характер нападения,Использование оружия,Категория оружия,Кража имущества,Выкрики при нападении,Соотношение агрессоров и жертв,Количество нападавших
93,msk_2014_11_001,Пострадавший жив - Виновный не найден,Москва,1,Женский,Взрослые,Узбекистан,Религиозные группы,13.11.2014,13.11.2014,Вечер,Нет данных,Улица,55.85162232,37.65355825,Избиение / ранение,Да,Нож,Кража имущества была,О выкриках при нападении нет информации,"Нападавших столько же, сколько жертв",1
95,msk_2014_09_001,Пострадавший жив - Виновный найден,Москва,3,Мужской,Нет данных,Узбекистан,Выходцы из Центральной Азии,13.09.2014,13.09.2014,Вечер,22.45,Вблизи транспортных путей,55.80889312,37.46288663,Избиение / ранение,Да,Нож,О краже имущества нет информации,Оскорбление в адрес этнической / расовой принадлежности,"Нападавших больше, чем жертв",6
99,mo_2014_09_001,Пострадавший жив - Виновный не найден,Московская область,1,Мужской,Взрослые,Судан,Темнокожие,22.09.2014,22.09.2014,Вечер,21:15,Вблизи транспортных путей,55.85163115,38.44178438,Избиение / ранение,Нет,Не применялось,Кража имущества была,Нападению сопутствовали выкрики,"Нападавших больше, чем жертв",4
101,msk_2014_05_002,Пострадавший жив - Виновный не найден,Москва,1,Мужской,Взрослые,Кыргызстан,Выходцы из Центральной Азии,15.05.2014,15.05.2014,Вечер,23:45,Улица,55.80151188,37.77407197,Избиение / ранение,Да,Труба,О краже имущества нет информации,Оскорбление в адрес этнической / расовой принадлежности,"Нападавших больше, чем жертв",3
178,mo_2012_02_001,Пострадавший жив - Виновный не найден,Московская область,1,Мужской,Нет данных,Афганистан,Из других стран Азии,10.02.2012,10.02.2012,Вечер,Нет данных,Улица,56.2309512,37.9564301,Избиение / ранение,Да,Бутылка,Кражи имущества не было,Нападению сопутствовали выкрики,"Нападавших больше, чем жертв",3
182,msk_2012_08_001,Пострадавший жив - Виновный не найден,Москва,1,Мужской,Нет данных,Афганистан,Из других стран Азии,03.08.2012,03.08.2012,День,12:00,Вблизи транспортных путей,55.67725628,37.50678207,Избиение / ранение,Да,Бутылка,Кражи имущества не было,Оскорбление в адрес этнической / расовой принадлежности,"Нападавших больше, чем жертв",10
184,mo_2012_11_002,Пострадавший жив - Виновный не найден,Московская область,1,Мужской,Нет данных,Демократическая республика Конго,Темнокожие,28.11.2012,30.11.2012,Нет данных,Нет данных,Улица,55.41188966,37.53704498,Избиение / ранение,Нет информации,Нет данных,О краже имущества нет информации,Оскорбление в адрес этнической / расовой принадлежности,"Нападавших больше, чем жертв",Несколько человек
187,msk_2013_02_001,Пострадавший жив - Виновный не найден,Москва,1,Мужской,Нет данных,Гвинея,Темнокожие,23.02.2013,23.02.2013,День,14:00,Публичное помещение,55.8191198,37.827645,Избиение / ранение,Нет информации,Нет данных,О краже имущества нет информации,Оскорбление в адрес этнической / расовой принадлежности,"Нападавших больше, чем жертв",2
188,msk_2013_03_001,Пострадавший жив - Виновный не найден,Москва,1,Мужской,Нет данных,Демократическая республика Конго,Темнокожие,04.03.2013,04.03.2013,Вечер,20:15,Улица,55.54111665,37.57422931,Избиение / ранение,Да,Огнестрельное оружие,Кража имущества была,Оскорбление в адрес этнической / расовой принадлежности,"Нападавших больше, чем жертв",Несколько человек
189,msk_2013_03_002,Пострадавший жив - Виновный не найден,Москва,1,Женский,Нет данных,Гвинея,Темнокожие,16.03.2013,16.03.2013,Утро,11:00,Вблизи транспортных путей,55.776241,37.65587,Избиение / ранение,Нет информации,Нет данных,О краже имущества нет информации,Оскорбление в адрес этнической / расовой принадлежности,"Нападавших столько же, сколько жертв",1
